category_id,category_name,category_url
1882,điện gia dụng,https://tiki.vn/dien-gia-dung/c1882?from=header_keyword
8594,xe cộ,https://tiki.vn/o-to-xe-may-xe-dap/c8594?from=header_keyword
2549,mẹ & bé,https://tiki.vn/do-choi-me-be/c2549?from=header_keyword
1520,khỏe đẹp,https://tiki.vn/lam-dep-suc-khoe/c1520?from=header_keyword
1883,nhà cửa,https://tiki.vn/nha-cua-doi-song/c1883?from=header_keyword
8322,sách,https://tiki.vn/nha-sach-tiki/c8322?from=header_keyword
1975,thể thao,https://tiki.vn/the-thao-da-ngoai/c1975?from=header_keyword
1789,Điện Thoại - Máy Tính Bảng,https://tiki.vn/dien-thoai-may-tinh-bang/c1789
1815,Thiết Bị Số - Phụ Kiện Số,https://tiki.vn/thiet-bi-kts-phu-kien-so/c1815
931,Thời trang nữ,https://tiki.vn/thoi-trang-nu/c931
4384,Bách Hóa Online,https://tiki.vn/bach-hoa-online/c4384
915,Thời trang nam,https://tiki.vn/thoi-trang-nam/c915
17166,Cross Border - Hàng Quốc Tế,https://tiki.vn/cross-border-hang-quoc-te/c17166
1846,Laptop - Máy Vi Tính - Linh kiện,https://tiki.vn/laptop-may-vi-tinh-linh-kien/c1846
1686,Giày - Dép nam,https://tiki.vn/giay-dep-nam/c1686
4221,Điện Tử - Điện Lạnh,https://tiki.vn/dien-tu-dien-lanh/c4221
1703,Giày - Dép nữ,https://tiki.vn/giay-dep-nu/c1703
1801,Máy Ảnh - Máy Quay Phim,https://tiki.vn/may-anh/c1801
27498,Phụ kiện thời trang,https://tiki.vn/phu-kien-thoi-trang/c27498
44792,NGON,https://tiki.vn/ngon/c44792
8371,Đồng hồ và Trang sức,https://tiki.vn/dong-ho-va-trang-suc/c8371
6000,Balo và Vali,https://tiki.vn/balo-va-vali/c6000
11312,Voucher - Dịch vụ,https://tiki.vn/voucher-dich-vu/c11312
976,Túi thời trang nữ,https://tiki.vn/tui-vi-nu/c976
27616,Túi thời trang nam,https://tiki.vn/tui-thoi-trang-nam/c27616
15078,Chăm sóc nhà cửa,https://tiki.vn/cham-soc-nha-cua/c15078
h-kiem-hang,Chính sách kiểm hàng,https://tiki.vnhttps://tiki.vn/chinh-sach-kiem-hang
1795,Điện thoại smartphone,https://tiki.vnhttps://tiki.vn/dien-thoai-smartphone/c1795
omfort.html,comfort,https://tiki.vnhttps://tiki.vn/thuong-hieu/comfort.html
11603,Thời Trang Cho Mẹ Và Bé,https://tiki.vnhttps://tiki.vn/thoi-trang-cho-me-va-be/c11603
5250,Đồ chơi,https://tiki.vnhttps://tiki.vn/do-choi/c5250
11601,Đồ dùng cho bé,https://tiki.vnhttps://tiki.vn/do-dung-cho-be/c11601
2640,"Chăm sóc mẹ mang thai, sau sinh",https://tiki.vnhttps://tiki.vn/cham-soc-me-mang-thai-sau-sinh/c2640
8339,Dinh dưỡng cho bé,https://tiki.vnhttps://tiki.vn/dinh-duong-cho-be/c8339
2551,"Tã, Bỉm",https://tiki.vnhttps://tiki.vn/ta-bim-cho-be/c2551
10418,Dinh dưỡng cho người lớn,https://tiki.vnhttps://tiki.vn/dinh-duong-cho-nguoi-lon/c10418
10416,Dinh dưỡng cho mẹ,https://tiki.vnhttps://tiki.vn/dinh-duong-cho-me/c10416
6568,Thực phẩm ăn dặm,https://tiki.vnhttps://tiki.vn/thuc-pham-an-dam/c6568
10570,Chuẩn bị mang thai,https://tiki.vnhttps://tiki.vn/chuan-bi-mang-thai/c10570
44824,Trái Cây,https://tiki.vnhttps://tiki.vn/di-cho-online/trai-cay/c44824
54276,"Thịt, Trứng",https://tiki.vnhttps://tiki.vn/di-cho-online/thit-trung/c54276
54290,"Cá, thuỷ hải sản",https://tiki.vnhttps://tiki.vn/di-cho-online/ca-thuy-hai-san/c54290
54302,Rau củ quả,https://tiki.vnhttps://tiki.vn/di-cho-online/rau-cu-qua/c54302
54316,Thực phẩm Việt,https://tiki.vnhttps://tiki.vn/di-cho-online/thuc-pham-viet/c54316
54330,"Sữa, bơ, phô mai",https://tiki.vnhttps://tiki.vn/di-cho-online/sua-bo-pho-mai/c54330
54344,"Đông lạnh, mát",https://tiki.vnhttps://tiki.vn/di-cho-online/dong-lanh-mat/c54344
54362,"Dầu ăn, gia vị",https://tiki.vnhttps://tiki.vn/di-cho-online/dau-an-gia-vi/c54362
54384,"Gạo, mì, nông sản",https://tiki.vnhttps://tiki.vn/di-cho-online/gao-mi-nong-san/c54384
54398,"Đồ hộp, đóng gói",https://tiki.vnhttps://tiki.vn/di-cho-online/do-hop-dong-goi/c54398
54412,"Bia, đồ uống",https://tiki.vnhttps://tiki.vn/di-cho-online/bia-do-uong/c54412
54430,Thực phẩm chay,https://tiki.vnhttps://tiki.vn/di-cho-online/thuc-pham-chay/c54430
54438,Dành cho trẻ em,https://tiki.vnhttps://tiki.vn/di-cho-online/danh-cho-tre-em/c54438
54452,"Bánh kẹo, giỏ quà",https://tiki.vnhttps://tiki.vn/di-cho-online/banh-keo-gio-qua/c54452
54466,"Thức ăn, đồ thú cưng",https://tiki.vnhttps://tiki.vn/di-cho-online/thuc-an-do-thu-cung/c54466
54474,Chăm sóc cá nhân,https://tiki.vnhttps://tiki.vn/di-cho-online/cham-soc-ca-nhan/c54474
54500,Chăm sóc nhà cửa,https://tiki.vnhttps://tiki.vn/di-cho-online/cham-soc-nha-cua/c54500
8061,Điện thoại bàn,https://tiki.vnhttps://tiki.vn/dien-thoai-ban/c8061
1796,Điện thoại phổ thông,https://tiki.vnhttps://tiki.vn/dien-thoai-pho-thong/c1796
28856,Máy đọc sách,https://tiki.vnhttps://tiki.vn/may-doc-sach/c28856
1794,Máy tính bảng,https://tiki.vnhttps://tiki.vn/may-tinh-bang/c1794
1582,Chăm sóc da mặt,https://tiki.vnhttps://tiki.vn/cham-soc-da-mat/c1582
2306,Dụng cụ làm đẹp,https://tiki.vnhttps://tiki.vn/dung-cu-lam-dep/c2306
2322,Thực phẩm chức năng,https://tiki.vnhttps://tiki.vn/thuc-pham-chuc-nang/c2322
1584,Trang điểm,https://tiki.vnhttps://tiki.vn/trang-diem/c1584
1592,Chăm sóc cơ thể,https://tiki.vnhttps://tiki.vn/cham-soc-co-the/c1592
2307,Máy Massage & Thiết bị chăm sóc sức khỏe,https://tiki.vnhttps://tiki.vn/may-massage-thiet-bi-cham-soc-suc-khoe/c2307
5873,Sản phẩm thiên nhiên & Khác,https://tiki.vnhttps://tiki.vn/san-pham-thien-nhien-khac/c5873
1591,Chăm sóc tóc và da đầu,https://tiki.vnhttps://tiki.vn/cham-soc-toc-da-dau/c1591
1594,Chăm sóc cá nhân,https://tiki.vnhttps://tiki.vn/cham-soc-ca-nhan/c1594
1595,Nước hoa,https://tiki.vnhttps://tiki.vn/nuoc-hoa/c1595
8142,Hỗ trợ tình dục,https://tiki.vnhttps://tiki.vn/ho-tro-tinh-duc/c8142
8161,Bộ sản phẩm làm đẹp,https://tiki.vnhttps://tiki.vn/bo-san-pham-lam-dep/c8161
5874,Dược mỹ phẩm,https://tiki.vnhttps://tiki.vn/duoc-my-pham/c5874
1884,Đồ dùng nhà bếp,https://tiki.vnhttps://tiki.vn/do-dung-nha-bep/c1884
1946,Thiết bị gia đình,https://tiki.vnhttps://tiki.vn/thiet-bi-gia-dinh/c1946
1698,Áo nữ,https://tiki.vnhttps://tiki.vn/ao-nu/c1698
941,Đầm nữ,https://tiki.vnhttps://tiki.vn/dam-vay-lien/c941
27600,Quần nữ,https://tiki.vnhttps://tiki.vn/quan-nu/c27600
1702,Áo liền quần - Bộ trang phục,https://tiki.vnhttps://tiki.vn/ao-lien-quan-bo-trang-phuc/c1702
936,Áo khoác nữ,https://tiki.vnhttps://tiki.vn/ao-khoac-nu/c936
1508,Đồ ngủ - Đồ mặc nhà nữ,https://tiki.vnhttps://tiki.vn/do-ngu-do-mac-nha-nu/c1508
5404,Chân váy,https://tiki.vnhttps://tiki.vn/chan-vay-nu/c5404
6179,Trang phục bơi nữ,https://tiki.vnhttps://tiki.vn/trang-phuc-boi-nu/c6179
49372,Thời trang bầu và sau sinh,https://tiki.vnhttps://tiki.vn/thoi-trang-bau-va-sau-sinh/c49372
49384,Thời trang trung niên,https://tiki.vnhttps://tiki.vn/thoi-trang-trung-nien/c49384
917,Áo thun nam,https://tiki.vnhttps://tiki.vn/ao-thun-nam/c917
27562,Quần nam,https://tiki.vnhttps://tiki.vn/quan-nam/c27562
925,Áo vest - Áo khoác nam,https://tiki.vnhttps://tiki.vn/ao-vest-ao-khoac-nam/c925
918,Áo sơ mi nam,https://tiki.vnhttps://tiki.vn/ao-so-mi-nam/c918
27548,Đồ lót nam,https://tiki.vnhttps://tiki.vn/do-lot-nam/c27548
10382,Áo hoodie nam,https://tiki.vnhttps://tiki.vn/ao-hoodie-nam/c10382
27570,"Đồ ngủ, đồ mặc nhà nam",https://tiki.vnhttps://tiki.vn/do-ngu-do-mac-nha-nam/c27570
49516,Đồ đôi - Đồ gia đình nam,https://tiki.vnhttps://tiki.vn/do-doi-do-gia-dinh-nam/c49516
4546,Áo nỉ - Áo len nam,https://tiki.vnhttps://tiki.vn/ao-ni-ao-len-nam/c4546
16004,Đồ bơi - Đồ đi biển nam,https://tiki.vnhttps://tiki.vn/do-boi-do-di-bien-nam/c16004
49532,Quần áo nam trung niên,https://tiki.vnhttps://tiki.vn/quan-ao-nam-trung-nien/c49532
49524,Quần áo nam kích cỡ lớn,https://tiki.vnhttps://tiki.vn/quan-ao-nam-kich-co-lon/c49524
8355,Giày cao gót,https://tiki.vnhttps://tiki.vn/giay-cao-got/c8355
984,Dép - Guốc nữ,https://tiki.vnhttps://tiki.vn/dep-guoc-nu/c984
27604,Giày thể thao nữ,https://tiki.vnhttps://tiki.vn/giay-the-thao-nu/c27604
4550,Giày sandals nữ,https://tiki.vnhttps://tiki.vn/giay-sandals-nu/c4550
1192,Giày búp bê,https://tiki.vnhttps://tiki.vn/giay-bup-be/c1192
981,Giày boots nữ,https://tiki.vnhttps://tiki.vn/giay-boots-nu/c981
4551,Giày lười nữ,https://tiki.vnhttps://tiki.vn/giay-luoi-nu/c4551
8357,Phụ kiện giày,https://tiki.vnhttps://tiki.vn/phu-kien-giay/c8357
1008,Giày Đế xuồng nữ,https://tiki.vnhttps://tiki.vn/giay-de-xuong-nu/c1008
5340,Giày lười nam,https://tiki.vnhttps://tiki.vn/giay-luoi-nam/c5340
1581,Giày tây nam,https://tiki.vnhttps://tiki.vn/giay-tay-cong-so/c1581
27572,Giày thể thao nam,https://tiki.vnhttps://tiki.vn/giay-the-thao-nam/c27572
5342,Dép nam,https://tiki.vnhttps://tiki.vn/dep-nam/c5342
5341,Giày sandals nam,https://tiki.vnhttps://tiki.vn/giay-sandals-nam/c5341
8338,Phụ kiện giày nam,https://tiki.vnhttps://tiki.vn/phu-kien-giay-nam/c8338
8337,Giày boots nam,https://tiki.vnhttps://tiki.vn/giay-boots-nam/c8337
4558,"Túi đeo chéo, túi đeo vai nữ",https://tiki.vnhttps://tiki.vn/tui-deo-cheo-tui-deo-vai-nu/c4558
4561,Ví nữ,https://tiki.vnhttps://tiki.vn/vi-bop-nu/c4561
4560,Túi xách tay nữ,https://tiki.vnhttps://tiki.vn/tui-cam-tay-nu/c4560
4559,Túi tote nữ,https://tiki.vnhttps://tiki.vn/tui-deo-vai-nu/c4559
8352,Phụ kiện túi,https://tiki.vnhttps://tiki.vn/phu-kien-tui/c8352
959,Ví nam,https://tiki.vnhttps://tiki.vn/vi-nam/c959
958,Túi đeo chéo nam,https://tiki.vnhttps://tiki.vn/phu-kien-nam-tui-xach/c958
5337,Túi xách công sở nam,https://tiki.vnhttps://tiki.vn/tui-xach-cong-so-nam/c5337
49650,"Túi bao tử, túi đeo bụng",https://tiki.vnhttps://tiki.vn/tui-bao-tu-tui-deo-bung/c49650
27608,Balo,https://tiki.vnhttps://tiki.vn/balo/c27608
8387,Túi du lịch và phụ kiện,https://tiki.vnhttps://tiki.vn/tui-du-lich-va-phu-kien/c8387
27612,"Balo, cặp, túi chống sốc laptop",https://tiki.vnhttps://tiki.vn/balo-cap-tui-chong-soc-laptop/c27612
6526,"Vali, phụ kiện vali",https://tiki.vnhttps://tiki.vn/vali-phu-kien-vali/c6526
975,Phụ kiện thời trang nữ,https://tiki.vnhttps://tiki.vn/phu-kien-thoi-trang-nu/c975
8370,Mắt kính,https://tiki.vnhttps://tiki.vn/mat-kinh/c8370
27550,Phụ kiện thời trang nam,https://tiki.vnhttps://tiki.vn/phu-kien-thoi-trang-nam/c27550
8374,Trang sức,https://tiki.vnhttps://tiki.vn/trang-suc/c8374
977,Đồng hồ nữ,https://tiki.vnhttps://tiki.vn/dong-ho-nu/c977
1778,Đồng hồ nam,https://tiki.vnhttps://tiki.vn/dong-ho-nam/c1778
27542,Phụ kiện đồng hồ,https://tiki.vnhttps://tiki.vn/phu-kien-dong-ho/c27542
11375,Đồng hồ trẻ em,https://tiki.vnhttps://tiki.vn/dong-ho-tre-em/c11375
8129,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,https://tiki.vnhttps://tiki.vn/linh-kien-may-tinh-phu-kien-may-tinh/c8129
12884,Thiết Bị Văn Phòng - Thiết Bị Ngoại Vi,https://tiki.vnhttps://tiki.vn/thiet-bi-van-phong-thiet-bi-ngoai-vi/c12884
2663,Thiết Bị Mạng,https://tiki.vnhttps://tiki.vn/thiet-bi-mang/c2663
8060,Thiết Bị Lưu Trữ,https://tiki.vnhttps://tiki.vn/thiet-bi-luu-tru/c8060
8093,PC - Máy Tính Bộ,https://tiki.vnhttps://tiki.vn/pc-may-tinh-bo/c8093
8095,Laptop,https://tiki.vnhttps://tiki.vn/laptop/c8095
1973,Trang trí nhà cửa,https://tiki.vnhttps://tiki.vn/trang-tri-nha-cua/c1973
1951,Dụng cụ nhà bếp,https://tiki.vnhttps://tiki.vn/nha-bep/c1951
